n_cluster,Silhouette,davies,calinski
2,0.43328864972178666,0.9627606851426284,147.85020215294173
3,0.335490228143042,1.232180411864965,151.34469102107758
4,0.3668075828658319,1.0821940692126615,148.96159847051135
5,0.37615453280100397,0.9582454670899061,149.522492225775
6,0.42801758320805355,0.9563230517855801,161.35106548452094
7,0.4515606318157301,0.7378685981647607,178.52696799775202
8,0.48342356428372957,0.6849340371658287,211.5619045247898
9,0.49400489518304896,0.6494290044988097,247.25202481074552
10,0.4798008426830359,0.6949520171237096,256.48184020590236
11,0.513253309686589,0.6461850092332377,272.7169923989391
12,0.5383954744035655,0.602622604508605,297.6311425660372
13,0.5729983791160088,0.5635066228474372,311.2955658739295
14,0.5782178165340461,0.5444683652021175,319.3979632099997
15,0.5857322253959579,0.5160711215045108,332.2387100350313
16,0.6032984039791565,0.48254889991591404,350.48500064438406
17,0.5889614933791149,0.5314045372043807,375.65259056562314
18,0.5713705558207252,0.5489355788323211,392.90266922576933
19,0.5878659591342354,0.5407466700888078,410.8619750987779
20,0.5961871629689717,0.5318444195588241,430.2322864302742
21,0.6014272588808091,0.5085680599206237,450.59824968535446
22,0.6111794879644049,0.47263268278718795,475.0765893453354
23,0.6044497156108419,0.47890065960601275,506.2141359573057
24,0.6095069147577252,0.45818194735798407,528.3928742748468
25,0.604916171306382,0.4722697625004195,547.6484014075111
26,0.6069363824493988,0.4747613689141831,566.7856289630064
27,0.6082679944093902,0.48416776354105645,591.060338220304
28,0.6098756699438674,0.4850147614366798,609.6971591249364
29,0.6042585990897695,0.4948666433915675,630.8490672619248
30,0.6049085802919858,0.4929234027186051,645.8804319700499
31,0.6055080290027556,0.4882719930524125,662.1830457094738
32,0.5662935409133207,0.5263522853851239,675.62095922629
33,0.5572989428554029,0.534850213850632,688.7538848402228
34,0.5613081444781435,0.5255286881346393,696.764353416244
35,0.5627696935145372,0.52498230061551,706.421818996454
36,0.5639522489919488,0.5271389543137363,717.4313374379259
37,0.5645507603237748,0.5374920961830956,730.7829251563021
38,0.5752795167757653,0.5287412394874104,743.0101469518387
39,0.5605522257831551,0.5455734586382567,751.8015406585096
40,0.5609402400228345,0.5314259328868616,761.2524083252862
41,0.5555070068853427,0.5370097877999273,772.0341180058175
42,0.5578456086604078,0.5313578389254853,784.2560709831331
43,0.5585371188130381,0.5205083175316101,797.6676118824381
44,0.5621565974336474,0.5312274982163164,812.0494054620956
45,0.5592868913484149,0.5167653354146599,826.1503503132056
46,0.563173671169729,0.5068855996705396,841.6175243597952
47,0.5580947553513914,0.5106075579836971,852.5620706046019
48,0.5570400506695046,0.49968264153020786,864.9538391566322
49,0.5425935077203131,0.5108378612880703,879.2665306483173
50,0.5357497291996376,0.5058044164651858,895.0560914184741
51,0.5381937289261369,0.4954308418587102,910.1349698330267
52,0.5403057422913996,0.4914531858206504,925.1416953011519
53,0.545729988814028,0.47282435398835787,941.2301174339464
54,0.5496154554275271,0.4700530449348196,955.2753802762078
55,0.5535660559391267,0.47018824749345667,968.9766814284726
56,0.556806918335308,0.46827886271767877,984.4961111701078
57,0.556395852417319,0.46074192023329597,1000.9812679670633
58,0.5562139552442915,0.4524250695416715,1019.2300654028514
59,0.5486538747810343,0.4580555485177387,1032.657535752546
60,0.5533043648138293,0.45055246725490916,1046.7896432497373
61,0.5527789861655553,0.4433858728989364,1060.8022836206549
62,0.5608932450270623,0.4388548265060233,1075.3279488396668
63,0.5588817103237019,0.4394993792316843,1091.3972649533687
64,0.5570200727327894,0.45150830575203665,1109.2269426453697
65,0.5580953713128021,0.4517389192032931,1127.178604495929
66,0.5565456427124538,0.45595657478580526,1144.4805753399996
67,0.5567802922605369,0.4473505389234595,1161.7955889274765
68,0.5567900852506168,0.4431697746709431,1180.635667956147
69,0.5594481958864697,0.4367614407353134,1200.9661829394643
70,0.5598099885087332,0.43678751730850385,1221.9693394842586
71,0.5622851073417556,0.43254008168236907,1244.1882575684501
72,0.5541444129663867,0.4347458712693069,1264.3055640239209
73,0.552261945695645,0.42263847287591577,1284.90795612592
74,0.5562961066685496,0.4291447394497288,1307.4942886254455
75,0.5549781219838403,0.44054083230178986,1331.4793362446762
76,0.5572163888144607,0.45584977340934446,1357.7951536278415
77,0.5547219638003424,0.4464727261563342,1377.35444425398
78,0.5549041618900792,0.42434302220604836,1397.0455205848748
79,0.5542589754382872,0.42905013109500634,1417.087770117758
80,0.5550725453072951,0.42407510182421626,1438.2137605085027
81,0.5527901069380753,0.4264875611245854,1459.32245154206
82,0.5549178610259518,0.4212044340900926,1480.1802598553159
83,0.5575228982340028,0.41638958785413555,1499.952521716938
84,0.558715121258886,0.4090478063631263,1518.6856624927286
85,0.5606889879617545,0.404548969945446,1537.064944445622
86,0.5586249871081651,0.4028969919264234,1557.0046749540345
87,0.5607444235947049,0.3994536819335785,1578.164521836539
88,0.5599023169535648,0.39320493364237785,1601.0355793272115
89,0.5575218604919322,0.4026188448427562,1625.3972218366873
90,0.5598462426149287,0.4051168796229879,1650.9743510899764
91,0.5610043719897503,0.3990285067777213,1678.5427702176664
92,0.5563802751876938,0.39993419720013434,1706.1603709815158
93,0.5577778869506566,0.3997602132214754,1732.8145116001378
94,0.5576422026664217,0.404693152961509,1758.621322084005
95,0.5582816301088553,0.39835517432579215,1784.3737653804362
96,0.560254755893239,0.39252548611851124,1810.1371889726001
97,0.5578097877601618,0.38495815941054884,1837.5063087913536
98,0.5547656472053974,0.3978110551384606,1863.22954454395
99,0.5462525791801607,0.40684464166672135,1889.7599479695189
100,0.5445843898546702,0.4029287632878317,1917.9550243150281
