n_cluster,Silhouette,davies,calinski
2,0.3846068060916963,0.6918922510103741,89.12750248075506
3,0.25398475070301585,1.0715260400024311,91.84822896340899
4,0.33699886736708223,0.9744357496446957,103.69062845339974
5,0.41541582264201604,0.8572663608785186,126.4023767643064
6,0.4483750776875749,0.7429564215357346,142.15641164666084
7,0.4895666981768653,0.6505192261145215,161.06077435665466
8,0.3568304510885602,0.6449832422211366,158.39524447659522
9,0.40197753754881516,0.6276254595471413,189.66220544568475
10,0.4241271449899315,0.5925263808977117,194.5856406978176
11,0.45020089229165733,0.6296071255671889,204.61054519835778
12,0.46115234431286944,0.7440336339503516,210.99055571192633
13,0.5084411696539023,0.7139488711395785,221.11622725295544
14,0.4462000358773072,0.8297182514754443,230.93184182218133
15,0.47046253073057964,0.8246171339300197,245.5070278811168
16,0.48974866267893447,0.7422052414644869,265.24385416009346
17,0.5027954965899616,0.6977032391062999,280.7038721812361
18,0.5104918576519988,0.6639998800190858,297.77306185661195
19,0.4709639976014709,0.7038629188168851,307.03208363548254
20,0.48812697588576576,0.6931642930253705,315.82328137843604
21,0.495528165879246,0.6765643199850763,326.02263683502906
22,0.5007835479396651,0.6470233394222624,335.36100278846766
23,0.5102877273293857,0.601619931913751,344.7941683416959
24,0.5157744362331301,0.5238934381975661,354.55047799494855
25,0.5159092393764868,0.5254636867877787,363.69482002412224
26,0.5148615016481577,0.5464255587096113,377.88452894683684
27,0.4881993256314925,0.5816479780218061,395.56911744385195
28,0.4893758310232611,0.553580002970876,408.03480316462094
29,0.4943927178537937,0.5371207568862085,423.48691559438606
30,0.5012276756160978,0.5383780227205709,433.34969741419604
31,0.49686032729265517,0.5278141463510885,439.98799088718107
32,0.4861941691510183,0.5524504849911702,453.0366467362333
33,0.4648817746460188,0.6677142728290661,446.21203355988763
34,0.4483262607093323,0.7199424831693699,462.25015742344266
35,0.44823922039565006,0.7006802330692123,474.80698809901133
36,0.4604820737095571,0.7054583812503323,485.8120975331493
37,0.4649357763456062,0.6840830726202396,497.5217110119892
38,0.46828547962363287,0.674209613143299,510.96096641398447
39,0.48013320363096684,0.6265177348627583,522.4949806496558
40,0.48354404301249904,0.6183316735024105,531.7825753095864
41,0.4456901854926262,0.6313487245934177,541.3851294583867
42,0.4533976382484486,0.6326423902181845,549.3042996830242
43,0.445467722378722,0.6446917040339858,557.798390567733
44,0.4429708877209039,0.6333505687867986,562.4788681869329
45,0.441566552484492,0.6519559681792246,568.094833567207
46,0.4420294293208444,0.6374125060824621,574.7043535861438
47,0.4447013058387301,0.6301722146662716,582.2925469772408
48,0.4434250196250371,0.6285140659276572,591.0563110270784
49,0.4358300330979822,0.5959754665840271,599.3430157047455
50,0.43304795216568126,0.5821945468089345,607.2771107285223
51,0.43964963164351417,0.5945395132031639,616.0270799626536
52,0.44335757555474875,0.5872971358288723,623.3541827909756
53,0.4424716846644099,0.5941991588515979,630.1236153404586
54,0.4440873450579065,0.5875198825284459,637.2420228786601
55,0.43560917115768966,0.5856405803474328,645.0755622929308
56,0.4248823208644469,0.5993707889203256,652.6276916788496
57,0.41737812612914926,0.6069955486038656,660.2594218944557
58,0.4211746352386155,0.5901826989769997,668.3005882303574
59,0.42012445108461693,0.5798492144338491,677.0013233474897
60,0.4260546847896034,0.561582992192781,686.6798483961483
61,0.4118000899464666,0.5735260552715902,697.1705598637627
62,0.4159263759719114,0.5698497787959781,708.7541667248063
63,0.41765025202228906,0.5681752926970957,721.6665875350374
64,0.41731460404432685,0.5576140124362425,729.8517011750619
65,0.3937599232094999,0.5744593372336151,738.0063176769853
66,0.3913108436962659,0.5767030689823665,746.1162203794247
67,0.3938732980355142,0.5774102549894969,755.0518781346692
68,0.39529925196804894,0.5696122275000717,762.2134442340009
69,0.3949940676383269,0.5706466253574409,770.182855297473
70,0.3977608185204459,0.5280696622891502,778.4241403951794
71,0.392764988175217,0.5440248734372354,786.8824441185088
72,0.39118314591518893,0.5398669821580561,795.7060076974004
73,0.3890739656921365,0.5392604787460572,804.9162434948853
74,0.390871666167656,0.5277353271418328,814.4461192673891
75,0.39099905884132274,0.5350957572723971,824.6477645682651
76,0.3834832597246196,0.5446745477806744,835.6604599806693
77,0.4131450003883639,0.526268339230829,846.6787594872571
78,0.4131549941096157,0.526886653184813,858.3856517274627
79,0.4076513565884908,0.5243425957151175,867.2048281225236
80,0.40779890905889365,0.5256052806265071,875.0723457511992
81,0.41176735239787793,0.5306407530422115,884.976742889998
82,0.41498591174137583,0.5299856544013231,894.6925298459365
83,0.42111284967096635,0.5265405071262803,904.6014594956544
84,0.42089513521581456,0.5289045700345376,913.515913434873
85,0.424472129853833,0.5600342499859,925.0127806379602
86,0.42792958730703545,0.5586746818654057,935.0392972439653
87,0.41931534045803115,0.5549502109383225,945.6170870333779
88,0.42419668441612146,0.5589723351419434,957.0506678095675
89,0.4247515191420894,0.5514892423041142,968.6309809322269
90,0.42824571102366876,0.5458899165532,980.7043871480521
91,0.42637860110612896,0.5456360726436122,993.4963038377109
92,0.4240463968485417,0.5705890929460445,1000.3738702697538
93,0.42074721471349913,0.6169080424817234,1014.5398749221223
94,0.4041280319260469,0.6392969587046891,1018.7487599240656
95,0.41006952945767083,0.6276680519319261,1034.3129943593337
96,0.411673210755897,0.6173122332709226,1049.983150737787
97,0.4126092777959752,0.6083189481011589,1066.2991251670924
98,0.4161456064902127,0.6042748505654789,1083.6469865996842
99,0.41959127063759655,0.6044394740938883,1101.0853773451834
100,0.4236228345665993,0.612641976631879,1119.6963977351852
