n_cluster,Silhouette,davies,calinski
2,0.2986748240332257,1.3703902331182203,136.7458000795856
3,0.36262754139169795,1.1486280544715017,160.46475114380152
4,0.38877766304331873,1.0479739801101848,153.4792430289125
5,0.42592676613437125,0.9984250412853466,162.64647962785887
6,0.45234497691317643,0.9170100163307002,175.1422369964377
7,0.4757816467543916,0.6979641336783938,194.0077097475273
8,0.5040954916549139,0.6508021500238325,220.34370390524205
9,0.5120232306376761,0.6163713840751758,265.7102803457679
10,0.48908347840960403,0.6698249352025873,276.143810983823
11,0.5216577966813147,0.6298582592940255,292.5399248831786
12,0.5444602895695273,0.5943605089608712,311.2149140445674
13,0.5310088410381988,0.6283549329170716,319.96951833218327
14,0.561104257069071,0.5932546584683651,335.2122113062047
15,0.5750976857644652,0.5850725405649823,353.0477777679255
16,0.5855424377237792,0.555437529375082,373.65904004726065
17,0.5926739290022798,0.5262367736437313,396.3109758977901
18,0.6093615601606528,0.5199684680358886,409.48341808421264
19,0.591219747890675,0.5378298427818402,427.6354170584465
20,0.5982792301180581,0.530663542648848,449.60982250147873
21,0.6035437696811408,0.5064712138294618,472.0811234448086
22,0.5926647208972577,0.5156266820069043,496.9729146249289
23,0.6016958633196267,0.47911596785449045,525.0012788494921
24,0.60672522407611,0.4605371782689409,541.8862702957335
25,0.6025749718024712,0.4736913247631622,557.9689023706379
26,0.6018693126165547,0.49347772276385365,577.5727704730367
27,0.6038685852913023,0.49560146578437164,595.8521841967082
28,0.6064634500188636,0.4945607904811893,617.8910683810897
29,0.5992654492623101,0.5056817106824979,637.3582290766852
30,0.601673683761804,0.49581446741763596,656.7537971733518
31,0.5987748604323143,0.5005797862998903,679.2646227284713
32,0.5991522162744797,0.4991155527166994,695.4937303288677
33,0.5561705909462267,0.5298066902683067,708.8898177385317
34,0.5585224940450776,0.5224595997237629,724.8813385174215
35,0.561784714037857,0.5255361239063693,736.9177876093275
36,0.5756511576842172,0.5255940470470368,747.926177409226
37,0.5765516402386285,0.5246363503272744,761.3845875851811
38,0.5804982353545949,0.5169133305732738,772.8528720809674
39,0.5643273891992373,0.5348154710778338,786.1769541405035
40,0.5646350649672289,0.5207139663163234,797.6856148870512
41,0.5670579435729054,0.5152604259066921,811.1427638934142
42,0.5642758626406046,0.5000406544585201,821.6522060243731
43,0.5645928801766493,0.4897994140176133,834.0330697751536
44,0.5598912355209329,0.496096679343542,848.4105225960282
45,0.5633203093480417,0.5083137493288455,864.8898276465916
46,0.5665856333984368,0.4997271560891525,879.3668303166154
47,0.5531511992605487,0.5104199810922214,895.3975979717806
48,0.5485567655225169,0.5130475703453782,911.5885499763386
49,0.5410517149420789,0.5236788870910185,924.5072578984235
50,0.5399472165988389,0.5130354897442071,937.7914770549594
51,0.5458774503038254,0.49320374272598694,952.8763491927245
52,0.5422247459526027,0.5013275931443406,968.688367648775
53,0.5448858738475579,0.4913307361461266,984.7315907358061
54,0.5454029679904697,0.4944757058075827,999.1370941144211
55,0.5452759442671842,0.48547301701764983,1014.5992836473514
56,0.5471564565399746,0.4874918381906705,1030.1829921349988
57,0.5466626072682789,0.48018316483508927,1047.4604288024384
58,0.5499821487660443,0.4774544965713287,1063.7172844955576
59,0.5455821468855501,0.4894617470113011,1078.2201080033014
60,0.5464526175233227,0.48459236005425743,1092.9873437277301
61,0.5443434373002702,0.48445815607289194,1105.8220999864473
62,0.5490903037744798,0.4769821138740453,1120.1765812831093
63,0.5508880042499994,0.46443317968609676,1135.3283671850572
64,0.5587797180993912,0.4596543613471746,1150.6179525556088
65,0.5507352165093419,0.4621227662127441,1167.4879505372126
66,0.5555017502196742,0.4489929389821676,1185.8761827028554
67,0.5548375907815166,0.44288467382455404,1205.6906128051296
68,0.5537529066895801,0.4464385231650026,1225.650775243762
69,0.5531518342850447,0.43785856098884285,1245.6093300269988
70,0.5513410791201108,0.42426480439657377,1265.153734749116
71,0.5538339213563255,0.4201410567931997,1283.364838228895
72,0.5465338343945702,0.4220450550786793,1301.299797684549
73,0.548529008977437,0.43488272714497944,1320.9624876010275
74,0.5459928301081135,0.4438752589212311,1341.640765703216
75,0.5487673857879019,0.44993021389559135,1364.0981329143165
76,0.5499060229798052,0.45311940705541115,1385.0108459916178
77,0.5529821548351491,0.45362338986649015,1405.220205995746
78,0.5547460804957427,0.4456291887521924,1424.699094213824
79,0.5522650542176009,0.43653879062475026,1444.5166297258424
80,0.5521987583156012,0.4165208637822156,1463.1146299100421
81,0.5509823465158817,0.4233348943071793,1483.3848836240286
82,0.5489561086954858,0.4252545963612163,1504.634130595947
83,0.5498330085096295,0.4204493348820298,1525.3839417454792
84,0.5520040637465585,0.415073548218328,1546.951701480898
85,0.5486701996047211,0.41509324673951375,1568.0406887839629
86,0.5466994331844781,0.4230396203836188,1590.454977904444
87,0.5477115690164794,0.4187642166224522,1610.4834701334617
88,0.549391200315948,0.4153904334255975,1631.1751352677363
89,0.5483671336920465,0.42289493928855576,1653.5379418411726
90,0.5475956778917638,0.4164141158646976,1677.4110531840174
91,0.5493126475733436,0.4230585378652655,1702.525649455743
92,0.547321820023388,0.4213277407553443,1729.1802392795607
93,0.5493310232178329,0.4171369691980208,1756.9187079152002
94,0.5468461717140741,0.4086062898891725,1781.9355088347322
95,0.5522126849175392,0.3993202215288868,1806.5609574276405
96,0.5535810008486557,0.3993224671863223,1831.7367579887934
97,0.5465589640636905,0.40733865671529296,1856.9463219878417
98,0.5478097328341393,0.40881487282550516,1883.0048212697677
99,0.5458570660154245,0.4134940814722827,1910.8581795213413
100,0.5425950575948253,0.4168162014639847,1939.3776575371462
