n_cluster,Silhouette,davies,calinski
2,0.2986748240332257,1.3703902331182203,136.7458000795856
3,0.36262754139169795,1.1486280544715017,160.46475114380152
4,0.38877766304331873,1.0479739801101848,153.4792430289125
5,0.42592676613437125,0.9984250412853466,162.64647962785887
6,0.45234497691317643,0.9170100163307002,175.1422369964377
7,0.4757816467543916,0.6979641336783938,194.0077097475273
8,0.5040954916549139,0.6508021500238325,220.34370390524205
9,0.5120232306376761,0.6163713840751758,265.7102803457679
10,0.48908347840960403,0.6698249352025873,276.143810983823
11,0.5216577966813147,0.6298582592940255,292.5399248831786
12,0.5444602895695273,0.5943605089608712,311.2149140445674
13,0.5310088410381988,0.6283549329170716,319.96951833218327
14,0.561104257069071,0.5932546584683651,335.2122113062047
15,0.5750976857644652,0.5850725405649823,353.0477777679255
16,0.5855424377237792,0.555437529375082,373.65904004726065
17,0.5926739290022798,0.5262367736437313,396.3109758977901
18,0.6093615601606528,0.5199684680358886,409.48341808421264
19,0.5932789588785052,0.5295137527287532,424.1346871175665
20,0.5985434984415877,0.5041692969644461,439.35828543414584
21,0.6052465150818531,0.486636201500726,462.61559099488335
22,0.5943674662979701,0.4966932611477336,486.0309805102515
23,0.603398608720339,0.4610057392065142,512.2882867220661
24,0.6084279694768223,0.4431815424812977,527.7800659791696
25,0.604167805490664,0.45702991440702406,542.41304338773
26,0.6009928131165608,0.4643285252594043,559.1266432232542
27,0.6002871539306444,0.4837288640564318,581.785810132913
28,0.6028820186582056,0.48311221024348905,602.2207144585241
29,0.6048805769766822,0.4924375645941563,626.8465087370325
30,0.6016137415779274,0.49747429086647277,643.9018490070574
31,0.5950389409314871,0.5136837413330031,664.6853433270505
32,0.5953992070382953,0.5110336941306339,679.7069258063374
33,0.55163639433641,0.5415122602944197,691.9615457638433
34,0.5539882974352609,0.5338208882785911,706.6309342996178
35,0.5572505174280402,0.5365728042166085,717.4808441880427
36,0.5581509999824517,0.5352835393334242,727.2932312678347
37,0.5720174436288118,0.5350764533235317,739.402214768383
38,0.5695187016785843,0.5531638827362999,750.9799638249459
39,0.5533478555232266,0.5701365219033351,762.9213678242055
40,0.5572944506391929,0.5622546222144381,777.7378073333788
41,0.5576021264071847,0.5480034737827986,790.2590270551406
42,0.5593697065605594,0.5358207943221031,799.5363809975928
43,0.5624855103872358,0.5238623856556619,818.625641925195
44,0.547081111421703,0.5337642202443725,827.3260881324376
45,0.5442990304894022,0.5191633619710893,843.0639187885155
46,0.5397045967513703,0.5217151207376245,853.6919360208581
47,0.5452442175800262,0.5285182701578878,892.7572932555605
48,0.5489852650717955,0.5207590829458022,911.8457146046183
49,0.5414802144913574,0.5312330218833045,924.7780312641689
50,0.5403757161481175,0.5204385418405382,938.0765762365193
51,0.5367230117968949,0.5281876677747386,951.8402119346097
52,0.5399461345900746,0.5288789290197183,967.4057766074012
53,0.5394522853183789,0.5202377691688724,977.115018652816
54,0.5453825190233653,0.5013744103289717,998.4920332884845
55,0.5472630312961558,0.5031408210992961,1012.1110056607054
56,0.5471360075728702,0.49414416040769893,1029.4677276305256
57,0.5497971354678253,0.4849748623696165,1054.5310280738818
58,0.550667606105598,0.4800149255976568,1066.123865443012
59,0.5535283774539136,0.47284468066928387,1081.9014778405224
60,0.5480359575085012,0.4865187665375374,1094.474029884516
61,0.5528130945828821,0.47716175176872927,1109.6770489044711
62,0.5507039143598296,0.4771495608884105,1124.2797944908796
63,0.5426594127697801,0.47941862623321946,1137.914243447384
64,0.5444571132452998,0.46702769863631377,1154.9542263805347
65,0.5437929538071423,0.4604540290176429,1171.1543835132252
66,0.5427082697152058,0.463849368410981,1187.3624022339484
67,0.5474748034255382,0.4508897385689382,1207.8438900439655
68,0.55536651727493,0.44659119544285053,1231.142323789134
69,0.553555762109996,0.4327427573251092,1248.9759842742071
70,0.5529546897054607,0.4240895318261163,1271.2163490732785
71,0.5554475319416753,0.41996825285052647,1289.713153252951
72,0.557442706524542,0.4330130703930803,1307.8529585312128
73,0.5547192596946512,0.44215439927240735,1326.9175154792465
74,0.5474191727328959,0.4437094605438012,1348.9440894715137
75,0.5471181558745377,0.4441307763160237,1364.9529189245343
76,0.5498927115543261,0.45010269875909364,1389.6625795501732
77,0.5474116852761841,0.44071808886158104,1406.1592105451082
78,0.5524393024079252,0.43310239083771207,1426.5193186802946
79,0.5504130645875293,0.43497135377321444,1442.6719875193705
80,0.5491966527878097,0.4416399285548371,1461.147922427198
81,0.54913035688581,0.4218061596001623,1481.3775368666306
82,0.5503066409618549,0.4243415753484176,1503.792367962411
83,0.5511835407759986,0.4195473141223993,1524.50539125665
84,0.5533545960129278,0.4141822658010759,1546.0342488674419
85,0.5513838295926848,0.42223284361674907,1566.5837062252942
86,0.5480499654508473,0.42216906546460536,1589.4555554113824
87,0.5485090280047865,0.4264031358109122,1609.4274304507833
88,0.5474849613808853,0.43386777580420455,1629.9902281942896
89,0.5502127181133474,0.437378063982746,1650.6606185162364
90,0.5482218905633919,0.4354561842624955,1673.165039540173
91,0.5502310937578366,0.43101805021482925,1696.5157732438893
92,0.5477462422540779,0.4221510400404183,1717.2640438819103
93,0.5466399587938889,0.41700129761394156,1746.9837020599796
94,0.5509956849464718,0.41044404130398393,1769.9935475253396
95,0.5523640008775882,0.41032921776017556,1792.764588869477
96,0.5453419640926231,0.4183142556111437,1815.4932897188792
97,0.5433892972739085,0.4229920110060585,1838.7124753293813
98,0.5401272888533093,0.42628501171642624,1862.3868659534453
99,0.5426882947475992,0.42636483460250113,1885.1964893622223
100,0.5441350669129956,0.42057218886711106,1914.8784096528032
