n_cluster,Silhouette,davies,calinski
2,0.010680308792223465,6.521397109861078,5.65944080093287
3,-0.017979090484796522,6.00903605667606,18.37270032077672
4,-0.035527489140388925,3.5065104075082667,24.54771645109773
5,-0.16748238477129432,3.0621587991786523,20.663360002349922
6,-0.09134120283464607,2.210239225657772,28.47716337785794
7,-0.11788369523560654,2.238737142128279,26.66266717542425
8,-0.12200138493678492,2.8307043312913445,27.312797847754364
9,-0.09907277981397888,3.453057558595569,33.04488176864246
10,-0.13171546653913288,3.956188206912789,32.46091808516025
11,-0.10374717902012126,3.5011086381860035,30.07643627411368
12,-0.1462665805593202,2.9679428811992814,32.29588284800427
13,-0.17313495256852254,2.6099993807019137,30.06153168617738
14,-0.18077185397940554,3.8195253010357493,26.198462495917642
15,-0.15916483647723115,3.8088186764480727,26.090221531868615
16,-0.1365035402059822,2.4439879958298953,33.83682746497394
17,-0.1421665094531815,3.8825078560516495,27.69183520146725
18,-0.1203550064750349,2.961970744025104,36.378297434186976
19,-0.12863079579162226,3.0859248082460775,35.25287090866453
20,-0.1337994719155322,2.855642208635272,30.154902066997494
21,-0.1795245936327463,2.8095360038326156,27.198045068161115
22,-0.1142207990710985,2.7810670785288916,36.04367888579133
23,-0.1369067942854563,2.847530541066042,31.18569675732658
24,-0.151118403690739,2.8561404715085783,32.10158450314098
25,-0.10773401305286788,2.5132625309872068,35.103824118487275
26,-0.13668149698267876,2.8826228825746663,32.659893773629754
27,-0.12502959509879769,3.138554592756824,35.28420276442181
28,-0.1252181454741428,2.525102526573184,33.18486748813707
29,-0.12362977477526875,3.0018971116811297,32.88019521390386
30,-0.13693927133706044,3.2374035185990726,31.241551134776643
31,-0.11951558847035837,3.3603868968046617,32.961605240788934
32,-0.10106946581174228,3.037711525684749,32.16530225926285
33,-0.12593491462281864,2.874681324439531,31.230261877376606
34,-0.1221586234906747,3.873476636994232,30.273212133699793
35,-0.12075028067645831,3.6520208278707784,31.375611318304994
36,-0.14945485814175619,3.661636063163824,29.37620637113037
37,-0.10495320697201012,3.66113182680631,30.89036651012748
