n_cluster,silhouette_score,davis_score,calinski_score
2,0.9186968103714798,0.04817358431337694,25.96667734845833
3,0.9190068469096135,0.04704580863106933,27.416801906357747
4,0.9167336994081658,0.04695858144585011,27.89612800565589
5,0.9160351535228412,0.0465328521836781,27.998687356005107
6,0.9171480721152712,0.044951390419103836,29.508796749924567
7,0.9192986564726345,0.043056006068549854,31.403338760077062
8,0.9210095565449677,0.04125106610142696,33.50907399900411
9,0.9227544391645641,0.03934936243903099,36.10525026845963
10,0.924421433421503,0.0374358816635398,39.17404041602256
11,0.9261251036936576,0.03545319648166882,42.9816848942482
12,0.9278651760495914,0.03269776648344897,47.72647304170204
13,0.9295682337008166,0.029881224840469327,53.767622982038056
14,0.931312603245389,0.026999469325975377,61.78531449491823
15,0.9328916149356993,0.024085352237634732,72.58756672395766
16,0.9346582048930968,0.021080093607521406,88.39796135801666
17,0.9363828107513271,0.018008456711100768,113.15087632030884
18,0.9381476830889423,0.0148370789343809,157.9302867711767
19,0.9392854266898568,0.011627607378029939,249.73914218651763
20,0.9370424075202609,0.16236285619384486,441.3201910941552
21,0.9400671875684663,0.16211422152898908,2118.3986757002012
22,0.9352935379831826,0.0036183438151229986,3093.9118663354548
23,0.9348892890773444,0.021904203009747884,17009.12367584074
24,0.9243740519920947,0.023594327552401238,30826.75531358016
25,0.91007664993613,0.035318509570215983,55025.07997503279
26,0.9139070987154115,0.03688391212764459,102272.41046245617
27,0.9109710267798478,0.040269690980136816,126545.19132572322
28,0.9065591978318349,0.02893342847481906,155215.9006666529
29,0.9076574467217069,0.03240290893279747,231163.02842752577
30,0.9015926704207772,0.03623617198335331,297795.0914752721
31,0.8996124614342568,0.04002638671871004,377090.47583521844
32,0.8990938573265197,0.043677759099852914,487072.47659680457
33,0.9001631499784789,0.047123136634486244,687818.1829726101
34,0.8992654955058554,0.04343591828627234,1232007.3961372958
35,0.8992468734714135,0.018941531309120716,1508087.2147316597
36,0.8828715315984984,0.019101786894548486,1873035.4162084288
37,0.8842654502890795,0.01924554077806958,2504853.3109363387
38,0.8654913851005529,0.04533684863855199,3582615.4261066606
39,0.8718128543769933,0.04681878523600629,6476398.0026347125
40,0.8762152686061175,0.04928742319328356,11505404.242815008
41,0.8784362774645743,0.05336170640477074,16176334.17456647
42,0.8768249475031025,0.0549544331931471,24518359.583076768
43,0.8794606369138903,0.05747664044429968,40567821.4630636
44,0.8754541001686509,0.05127668353108536,61220420.431550615
45,0.8731293201691256,0.050514589502512336,85710372.62780015
46,0.8687673584167993,0.0451404898604322,137394614.61089265
47,0.8671316605622488,0.029616529631720137,200599570.90764555
48,0.8520440001370811,0.03197976686047821,256211080.49162903
49,0.8509336739647869,0.034288876936659156,335794659.63347435
50,0.8492813725535723,0.025402692039653476,402830534.21709
51,0.8430339592980085,0.026058249803656456,508058943.4363439
52,0.8396875272687762,0.0279364498573812,572059195.1432842
53,0.8388552108881836,0.0284163725736685,776009300.423631
54,0.8107974262561057,0.04311106480243571,961028819.3806963
55,0.8152053363180125,0.04479063233672879,1240382854.0755706
56,0.8193478491876665,0.04650011782962954,1737051573.0539532
57,0.822827291353754,0.04848605565184644,2461213531.482302
58,0.8210768988758266,0.04125805224178043,3003009966.5627317
59,0.8177959334762781,0.029921321371234513,3623230740.7509737
60,0.8194585903558793,0.03291248351236088,5475213914.044594
61,0.8137295988929857,0.039022548913014855,7654028122.653999
62,0.8148964708740722,0.031488471767236265,12918881847.955215
63,0.8019629118036163,0.03589791135822696,17417571122.185825
64,0.8051749549078866,0.03781873875443832,22512790157.106407
65,0.8106338088200999,0.040443103118470845,30222707211.28313
66,0.8107505551139484,0.04183722909370629,44862991537.178665
67,0.8120959043163243,0.03753282838386688,73392810436.58624
68,0.8143785932109975,0.03952665633143121,136668063142.6591
69,0.811299083538546,0.03174209224330353,199321896957.64062
70,0.8085639571101796,0.030618983701413725,236670754436.6632
71,0.7992008611748849,0.031801688737980116,323793212650.83765
72,0.7966863248063347,0.01904122115348075,415759473425.05365
73,0.7890035948103629,0.01968960517503078,543592597969.19135
74,0.7723821849590751,0.028657663805967112,657182769049.4316
75,0.7685034698142111,0.025168899597166675,811106845970.6041
76,0.7704871742711701,0.027285940739863984,988691231532.1447
77,0.7724640523328407,0.02935568686707531,1234581431082.0789
78,0.7693554328433054,0.03235035946945535,1611901589320.121
79,0.7717915782822662,0.03461458867804033,2089787185261.2444
80,0.7688236532068823,0.0275878844506105,2503364696420.633
81,0.7711559749563789,0.02986437191762445,3905206713408.6084
82,0.7599864753595081,0.03604019442931472,6242136233444.912
83,0.7581041692180257,0.02489403282268298,7794709864538.496
84,0.7524908658360021,0.02819965240369568,9855047602514.006
85,0.7553049286166214,0.03075592472446722,13006759258741.057
86,0.7575653240484882,0.03342504927080611,17758741128523.254
87,0.7573813414201686,0.0246721927714242,25386148794001.734
88,0.7556980823275249,0.03171059756783221,44442731760557.32
